date,value,cash,drawdown,long_exposure,short_exposure,net_exposure,net_exposure_pct,index_exposure,components_exposure,recovery_mode,return,cumulative_return
2021-02-01,1000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,
2021-02-02,1000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0
2021-02-03,1000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0
2021-02-04,1000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0
2021-02-05,1000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0
2021-02-08,1000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0
2021-02-09,1000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0
2021-02-10,1000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0
2021-02-11,1000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0
2021-02-12,1000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0
2021-02-16,1000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0
2021-02-17,1000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0
2021-02-18,1000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0
2021-02-19,1000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0
2021-02-22,1000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0
2021-02-23,1000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0
2021-02-24,1000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0
2021-02-25,1000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0
2021-02-26,1000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0
2021-03-01,1000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0
2021-03-02,1000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0
2021-03-03,1000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0
2021-03-04,1000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0
2021-03-05,1000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0
2021-03-08,1000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0
2021-03-09,1000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0
2021-03-10,1000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0
2021-03-11,1000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0
2021-03-12,1000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0
2021-03-15,1000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0
2021-03-16,1000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0
2021-03-17,1000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0
2021-03-18,1000000.0,928328.1822586908,0.0,94993.23910612515,-59157.33023547039,35835.90887065476,0.03583590887065476,-59157.33023547039,94993.23910612515,False,0.0,0.0
2021-03-19,964924.8151473446,908352.8708952023,0.03507518485265539,73138.7514171442,-56517.42989197871,16621.32152516549,0.017225509453425554,-56517.42989197871,73138.7514171442,False,-0.03507518485265537,-0.03507518485265537
2021-03-22,926142.045120533,890563.6966698716,0.07385795487946703,0.0,0.0,0.0,0.0,0.0,0.0,False,-0.04019253046247906,-0.073857954879467
2021-03-23,890563.6966698716,890563.6966698716,0.10943630333012844,0.0,0.0,0.0,0.0,0.0,0.0,False,-0.038415649778680616,-0.10943630333012844
2021-03-24,890563.6966698716,890563.6966698716,0.10943630333012844,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,-0.10943630333012844
2021-03-25,890563.6966698716,890563.6966698716,0.10943630333012844,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,-0.10943630333012844
2021-03-26,890563.6966698716,890563.6966698716,0.10943630333012844,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,-0.10943630333012844
2021-03-29,890563.6966698716,890563.6966698716,0.10943630333012844,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,-0.10943630333012844
2021-03-30,890563.6966698716,890563.6966698716,0.10943630333012844,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,-0.10943630333012844
2021-03-31,890563.6966698716,890563.6966698716,0.10943630333012844,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,-0.10943630333012844
2021-04-01,890563.6966698716,890563.6966698716,0.10943630333012844,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,-0.10943630333012844
2021-04-05,890563.6966698716,890563.6966698716,0.10943630333012844,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,-0.10943630333012844
2021-04-06,890563.6966698716,890563.6966698716,0.10943630333012844,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,-0.10943630333012844
2021-04-07,890563.6966698716,890563.6966698716,0.10943630333012844,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,-0.10943630333012844
2021-04-08,890563.6966698716,890563.6966698716,0.10943630333012844,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,-0.10943630333012844
2021-04-09,890563.6966698716,890563.6966698716,0.10943630333012844,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,-0.10943630333012844
2021-04-12,890563.6966698716,890563.6966698716,0.10943630333012844,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,-0.10943630333012844
2021-04-13,890563.6966698716,890563.6966698716,0.10943630333012844,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,-0.10943630333012844
