"date","Open","High","Low","Close","Volume","Adjusted"
2020-01-08,428.869995117188,437.570007324219,428.869995117188,431.899993896484,479500,431.899993896484
2020-01-09,434.989990234375,439.540008544922,433.450012207031,437.369995117188,561200,437.369995117188
2020-01-10,437.880004882812,438.390014648438,434.899993896484,436.850006103516,569400,436.850006103516
2020-01-13,436.630004882812,437.839996337891,433.070007324219,435.5,574500,435.5
2020-01-14,434.160003662109,438.790008544922,432.5,438.510009765625,432800,438.510009765625
2020-01-15,436.869995117188,440.339996337891,436.779998779297,438.149993896484,349100,438.149993896484
2020-01-16,439.899993896484,443.989990234375,438.450012207031,441.070007324219,875600,441.070007324219
2020-01-17,442.679992675781,442.799987792969,436.160003662109,440.679992675781,606900,440.679992675781
2020-01-21,439.920013427734,446.829986572266,439.809997558594,440.600006103516,622300,440.600006103516
2020-01-22,441.179992675781,443.859985351562,433.519989013672,435.709991455078,754200,435.709991455078
2020-01-23,432.739990234375,436.910003662109,430.890014648438,436.049987792969,685400,436.049987792969
2020-01-24,437.459991455078,439.119995117188,429.709991455078,430.769989013672,374900,430.769989013672
2020-01-27,425.880004882812,428.850006103516,425.880004882812,426.809997558594,448300,426.809997558594
2020-01-28,427.350006103516,429.839996337891,425.589996337891,428.059997558594,457000,428.059997558594
2020-01-29,427.700012207031,429.529998779297,423.899993896484,424.130004882812,368300,424.130004882812
2020-01-30,420.700012207031,420.790008544922,417,419.880004882812,623700,419.880004882812
2020-01-31,415.279998779297,417.950012207031,405,406.100006103516,1274900,406.100006103516
2020-02-03,407.839996337891,412.070007324219,405.869995117188,406.230010986328,771600,406.230010986328
2020-02-04,409.779998779297,415.959991455078,407.470001220703,407.589996337891,666500,407.589996337891
2020-02-05,410.529998779297,421.709991455078,410.269989013672,419.209991455078,938000,419.209991455078
2020-02-06,404.279998779297,412.489990234375,388.429992675781,398.130004882812,2185100,398.130004882812
2020-02-07,396.279998779297,397.489990234375,386.179992675781,387.690002441406,1187900,387.690002441406
2020-02-10,385.329986572266,392,385.329986572266,391.309997558594,845700,391.309997558594
2020-02-11,388.130004882812,394.329986572266,387.769989013672,389.760009765625,1255400,389.760009765625
2020-02-12,391.190002441406,393.260009765625,389.329986572266,392.470001220703,840800,392.470001220703
2020-02-13,391.839996337891,396.230010986328,391.839996337891,392.600006103516,723700,392.600006103516
2020-02-14,393.589996337891,396.010009765625,389.769989013672,390.890014648438,898900,390.890014648438
2020-02-18,393.230010986328,399.359985351562,391.309997558594,395.989990234375,1095300,395.989990234375
2020-02-19,394.959991455078,398.109985351562,390.5,392.149993896484,781900,392.149993896484
2020-02-20,391.149993896484,395.720001220703,388.690002441406,395.179992675781,1096000,395.179992675781
2020-02-21,393.299987792969,394.209991455078,389.369995117188,391.5,642000,391.5
2020-02-24,386.149993896484,391.290008544922,385.480010986328,387.769989013672,758200,387.769989013672
2020-02-25,389.709991455078,390.899993896484,376.75,377.350006103516,1005800,377.350006103516
2020-02-26,379.5,384.209991455078,376.720001220703,377.690002441406,809600,377.690002441406
2020-02-27,371.239990234375,380.929992675781,370.059997558594,370.470001220703,1110200,370.470001220703
2020-02-28,360.910003662109,372.5,358.869995117188,368.720001220703,1689400,368.720001220703
2020-03-02,367.010009765625,378.390014648438,364.450012207031,378.390014648438,1222300,378.390014648438
2020-03-03,368.429992675781,380.480010986328,362.25,364.170013427734,1406900,364.170013427734
2020-03-04,368.019989013672,377.5,363.619995117188,377.200012207031,734300,377.200012207031
2020-03-05,368.869995117188,371.940002441406,358.450012207031,361.329986572266,810200,361.329986572266
