"date","Open","High","Low","Close","Volume","Adjusted"
2019-02-04,158.90994163428,160.155842449881,156.975005401659,160.155842449881,1667900,151.004150390625
2019-02-05,159.589529134539,161.250735022779,158.938256579931,161.14690875462,1409200,151.938552856445
2019-02-06,160.684421707437,162.336194081231,160.684421707437,161.364009207697,1047100,152.14323425293
2019-02-07,159.693355402699,160.863744895793,158.80611536612,160.429572794262,754200,151.262237548828
2019-02-08,158.824996797325,159.929322884669,158.220920619573,159.929322884669,856400,150.790588378906
2019-02-11,159.844378047715,160.627777413822,159.504584297585,160.174723881086,649300,151.02197265625
2019-02-12,161.222420077128,163.346127414862,160.74105159874,163.006333664732,1094800,153.69172668457
2019-02-13,163.563213465627,167.584108575884,163.308378954764,166.895087561177,1119900,157.358276367188
2019-02-14,165.970084662188,167.97109870287,165.517031129452,166.508097434191,1265500,156.993423461914
2019-02-15,168.216458549163,168.653031168989,167.580570963283,168.358816037815,702600,158.738342285156
2019-02-19,167.542599311682,169.412304899662,167.46667049042,168.425259187147,475800,158.801025390625
2019-02-20,168.70997416445,170.256993123525,167.998157757308,169.734991528567,563400,160.035919189453
2019-02-21,169.194018589749,169.412304899662,167.798857273196,168.899803458574,533500,159.248428344727
2019-02-22,169.355361904201,170.854923539745,168.804888811512,170.105135481002,656300,160.384902954102
2019-02-25,170.892880709405,172.269056200157,170.323436272857,170.911866535206,712200,161.145553588867
2019-02-26,170.038706813612,171.623682942348,170.038706813612,170.171578630334,569100,160.447525024414
2019-02-27,169.564162542185,171.490811125625,168.728959990251,171.319967657302,561800,161.530288696289
2019-02-28,170.655608573691,170.826452042015,168.70048849252,169.469247895122,735500,159.785354614258
2019-03-01,170.816951888144,171.386410806634,168.00765791118,169.421790571591,753100,159.740615844727
2019-03-04,170.835937713945,171.490811125625,167.903257592188,168.785902985711,842400,159.141036987305
2019-03-05,168.947246300164,170.095649809073,168.453730684877,169.156046938147,705900,159.490005493164
2019-03-06,169.080118116886,170.313936118986,168.596088173529,168.975717797894,561900,159.320022583008
2019-03-07,168.804888811512,168.804888811512,165.50206473732,166.574524943026,727400,157.056015014648
2019-03-08,165.226820950004,165.672893723701,164.040460271435,165.644422225971,545500,156.179077148438
2019-03-11,165.53053623505,169.592634039915,165.483078911519,169.298418908741,687400,159.624252319336
2019-03-12,169.84889200143,171.073209849658,169.222490087479,169.573648214114,650800,159.883804321289
2019-03-13,170.437322263778,172.753100625456,169.564162542185,172.164655881165,742300,162.326736450195
2019-03-14,171.794511928729,171.81349775453,170.181064302264,171.481310971754,715000,161.68244934082
2019-03-15,171.538268449157,172.183641706966,169.421790571591,170.200050128065,1867100,160.474365234375
2019-03-18,170.57967975243,171.718583107468,170.294950293185,171.585711290746,548900,161.780899047852
2019-03-19,171.671140265879,172.534799833601,169.023175121425,169.668562861176,593600,159.973297119141
2019-03-20,168.624559671259,168.899803458574,165.663408051772,167.058569368324,627500,157.512435913086
2019-03-21,166.175909492859,168.662531322861,165.378678592527,168.00765791118,554600,158.407272338867
2019-03-22,166.935183223532,167.238898508578,161.164723145139,161.27860913606,788200,152.062759399414
2019-03-25,161.041337000346,162.683270606484,159.902433645308,161.18370897094,651100,151.973281860352
2019-03-26,162.759199427746,163.71777364253,161.506395599845,162.787670925476,556700,153.485534667969
2019-03-27,162.578870287492,163.385586859754,161.383009455052,162.332097997907,582600,153.056015014648
2019-03-28,162.901556916397,165.122420631012,162.759199427746,164.98954881429,602600,155.561614990234
2019-03-29,166.23285248832,167.087040866055,165.691879549502,166.527082101436,656000,157.011291503906
2019-04-01,168.377801863616,172.079241387974,168.377801863616,171.699611763609,780000,161.888244628906
2019-04-02,171.794511928729,172.952401109568,171.225067492181,172.800557948987,639300,162.92626953125
2019-04-03,173.493388530328,174.973964340071,173.360516713606,173.996404299486,620100,164.053833007812
2019-04-04,173.569317351589,175.581380428221,173.569317351589,175.571894756291,532600,165.539276123047
2019-04-05,175.581380428221,176.76774110679,175.249193645445,175.904067057126,602300,165.852447509766
2019-04-08,175.913567210997,177.194828054686,175.097350484864,176.530468971076,408200,166.443084716797
2019-04-09,175.249193645445,175.457994283428,172.952401109568,173.189673245282,610900,163.29313659668
2019-04-10,173.313059390075,174.233676435199,171.595211444617,173.550331525788,924900,163.633224487305
2019-04-11,174.110290290407,174.338076754191,172.942915437639,173.635746018979,834900,163.713760375977
2019-04-12,174.480434242843,175.011921509731,173.68320334251,174.86007834915,792600,164.868118286133
2019-04-15,175.344108292507,176.606397792338,175.106836156793,176.530468971076,668400,166.443084716797
2019-04-16,176.843669928051,178.409660230986,176.16032501864,178.03003060662,669000,167.856948852539
2019-04-17,179.225876957119,181.731470130979,178.656432520571,178.713375516032,867000,168.501220703125
2019-04-18,179.387220271571,180.630538427543,178.941147497874,180.250894321236,917500,169.950897216797
2019-04-22,179.463149092833,180.307837316696,178.333731409724,179.719407054347,414300,169.449783325195
2019-04-23,180.137008330314,180.867810563257,179.491620590563,179.804821547538,818700,169.530319213867
2019-04-24,179.890236040729,180.858310409385,179.111990966198,179.28281995258,850400,169.038131713867
2019-04-25,169.194018589749,172.525314161672,166.508096275635,167.248384180507,2494600,157.69140625
2019-04-26,167.248384180507,169.469247895122,166.375224458913,169.34586175033,966000,159.668991088867
2019-04-29,169.3363760784,172.231099030497,168.785902985711,171.77554058487,953800,161.959884643555
2019-04-30,172.221613358568,172.221613358568,169.421790571591,171.509796951426,970200,161.709289550781
2019-05-01,172.430399514609,172.715128973854,168.244930046894,168.330344540084,645900,158.711532592773
2019-05-02,168.406273361346,168.567616675798,165.217335278075,166.916197397731,736000,157.378173828125
2019-05-03,168.13102957403,169.858377673359,167.020597716723,169.668562861176,723900,159.973297119141
2019-05-06,166.565039271096,168.320858868155,164.515004542863,168.187987051433,596200,158.57731628418
2019-05-07,166.16642382093,166.925697551602,162.626327611024,164.192317913958,783200,154.809967041016
2019-05-08,163.603887651609,164.733305334718,161.800610731019,161.923996875812,628100,152.671249389648
2019-05-09,159.854976321777,160.908465183624,157.377869127589,160.395963742537,1041000,151.230545043945
2019-05-10,159.861407152047,160.605968575146,156.339051038248,158.925935157867,1480800,149.844467163086
2019-05-13,155.919039042543,155.919039042543,152.224867784433,153.54217548632,1186100,144.768402099609
2019-05-14,154.305817770647,155.079029616674,153.293978634925,154.477647480501,907800,145.650405883789
2019-05-15,153.561256347548,155.76630475946,152.931252919532,154.84992819205,681500,146.001434326172
2019-05-16,155.460850758838,156.883161459651,155.021743336361,155.575394188378,526800,146.685440063477
2019-05-17,153.780817341558,155.546758330993,152.912157492761,153.036255918459,579900,144.291397094727
2019-05-20,151.556673502875,153.418077060622,150.296637515758,151.375303362407,685000,142.725341796875
2019-05-21,152.683056068138,155.107665474059,152.683056068138,154.172178914336,760800,145.362365722656
2019-05-22,153.589892204933,154.258101052034,152.158041073505,152.158041073505,489500,143.463348388672
2019-05-23,149.342070094806,151.718948216572,147.413839826131,148.091589103846,972400,139.629257202148
2019-05-24,149.284798380036,149.485263947275,146.965206538584,147.747944249682,767800,139.305236816406
2019-05-28,148.196592102772,148.912517668486,144.626504704817,144.68379098513,1188200,136.41618347168
2019-05-29,144.741062699901,146.812472255501,144.244683562654,146.153818404557,1074300,137.80224609375
2019-05-30,146.822012686115,148.979344379414,146.822012686115,148.368407247083,1254000,139.890274047852
2019-05-31,146.144277973943,146.144277973943,141.371440869184,142.087366434898,1575800,133.968139648438
2019-06-03,141.944172582429,144.951068697753,141.944172582429,143.471486282169,1019400,135.273193359375
2019-06-04,147.032018683968,150.124822371447,145.791078123622,149.924356804208,1109700,141.357299804688
2019-06-05,150.888479221317,151.394398789178,148.04385781969,149.991183515136,1054100,141.420303344727
2019-06-06,150.373004657299,151.298936220866,147.385203968746,149.084332812797,825200,140.56526184082
2019-06-07,150.162998659446,150.926655509316,148.234768390772,149.991183515136,905700,141.420303344727
2019-06-10,150.87892422516,153.20807106277,150.87892422516,151.594849790874,798200,142.932342529297
2019-06-11,153.704450200017,154.095811772794,151.633040644416,151.852587072883,1018000,143.175338745117
2019-06-12,151.633040644416,152.263044072432,149.657079091585,150.802557083619,591700,142.185348510742
2019-06-13,151.785760361956,152.100769358735,150.697554084693,152.07213350135,374200,143.38232421875
2019-06-14,151.165297364554,151.690312359187,148.292054671085,149.418437236347,478200,140.880264282227
2019-06-17,149.504344808503,150.793016653005,148.587968241093,148.769338381561,577300,140.268295288086
2019-06-18,150.124822371447,153.293978634925,149.093887808954,151.556673502875,846700,142.896362304688
2019-06-19,152.234408215047,152.425318786129,149.790717947897,151.489846791948,777500,142.833312988281
2019-06-20,153.761721914787,156.501325751945,152.310775356588,155.642220899305,988700,146.748397827148
2019-06-21,156.090868752396,156.615883747028,154.305817770647,155.327211902526,1051800,146.451400756836
2019-06-24,154.716289335739,156.358146465019,153.914456197869,154.802196907894,443200,145.956390380859
2019-06-25,155.537217900379,155.909498611928,153.628083058475,153.838089056328,567200,145.047378540039
2019-06-26,154.477647480501,155.680397187305,154.048095054181,154.993107478976,571100,146.13639831543
2019-06-27,154.993107478976,156.692236323027,154.02899962741,154.764020619895,432500,145.920379638672
2019-06-28,155.346307329297,157.140884176117,154.974026617748,156.386782322404,955500,147.450469970703
2019-07-01,158.505923162161,159.288660873259,156.014501610855,157.121803314889,714500,148.143447875977
2019-07-02,156.797239321953,157.045436173348,154.114907199565,155.460850758838,687100,146.577407836914
2019-07-03,155.594489615149,156.606328750871,155.33675233314,156.606328750871,423900,147.657440185547
2019-07-05,155.203113476829,155.203113476829,149.809813374668,152.148500642891,1047300,143.454345703125
2019-07-08,151.384843793021,153.303533631082,150.239365800988,150.287097085144,780900,141.699325561523
2019-07-09,149.027061098027,150.134362802061,147.604764962756,148.10112953446,1164700,139.638244628906
2019-07-10,148.86478638433,149.523440235274,145.97244826409,146.592925827034,1177900,138.216247558594
2019-07-11,147.108385825509,149.217986234652,145.456988265614,149.103428239568,1073200,140.583267211914
2019-07-12,150.105726944676,153.713990630631,149.151159523724,153.074432206458,1107700,144.327392578125
2019-07-15,153.064891775844,153.713990630631,151.58530936026,152.053038074579,903900,143.364334106445
2019-07-16,151.709393220415,157.94273187953,150.430276372069,155.184032615601,1842800,146.316436767578
2019-07-17,154.630381763583,155.050379193746,152.310775356588,152.673515637523,1061000,143.94938659668
2019-07-18,152.224867784433,152.940793350147,150.82165251039,151.919399218267,668900,143.238342285156
2019-07-19,152.291679929817,154.315372766804,151.766679500728,152.683056068138,1077500,143.958358764648
2019-07-22,152.72124692168,154.45855205373,151.871682499654,152.07213350135,770100,143.38232421875
2019-07-23,152.969429207532,159.460490583113,152.740327782908,159.145481586333,1253800,150.051483154297
2019-07-24,157.789997596447,162.056915133345,155.890403185157,161.20735071132,1911200,151.995544433594
2019-07-25,153.255802346926,161.369625425016,153.122163490614,159.622765296809,2440000,150.501510620117
2019-07-26,159.660941584809,159.842311725276,156.081313756239,157.140884176117,1087700,148.161468505859
2019-07-29,156.997704889192,157.789997596447,155.126746335287,155.833131470387,1096700,146.928436279297
2019-07-30,154.57309548327,158.219550022767,153.981268343254,157.875905168602,1157900,148.854476928711
2019-07-31,157.818633453832,157.818633453832,151.633040644416,153.475348775393,1270500,144.70539855957
2019-08-01,153.045796349073,155.432214901453,147.919773959535,148.683416243862,1557400,140.187255859375
2019-08-02,148.024776958462,148.406598100625,145.791078123622,146.812472255501,1118700,138.423233032227
2019-08-05,144.149220994341,145.342430270531,142.602826433373,143.948769992645,1243800,135.723129272461
2019-08-06,144.931973270982,146.36382440241,144.23514313204,146.172913831328,928900,137.820220947266
2019-08-07,143.471486282169,145.151519699449,141.409617157183,145.027421273752,1052300,136.740158081055
2019-08-08,146.115642116558,149.523440235274,145.886540691934,149.284798380036,1159400,140.754257202148
2019-08-09,148.257043055009,148.871778483025,146.374407562459,147.430990949571,851800,139.006393432617
2019-08-12,146.700982552494,146.969928386223,143.57927623001,144.040338793358,769800,135.809509277344
2019-08-13,143.57927623001,149.765059718671,143.300730422379,146.998742964376,1001700,138.598876953125
2019-08-14,144.078753345413,144.578230460816,140.832174079966,141.120334517947,931800,133.056381225586
2019-08-15,141.52375326854,141.52375326854,139.439415728917,140.169409469545,782700,132.159774780273
2019-08-16,141.504553320737,144.71270337768,141.235592830559,144.376513757295,853100,136.126449584961
2019-08-19,146.825855495457,147.479005475527,145.557955430922,147.190859693995,621400,138.779998779297
2019-08-20,146.95072843842,146.95072843842,144.462957491755,144.751117929735,512300,136.479675292969
2019-08-21,146.979543016573,147.306118006608,145.116122128274,145.884545077406,433600,137.548355102539
2019-08-22,146.489665875071,147.373347136816,144.770332533987,146.489665875071,504600,138.118881225586
2019-08-23,145.240995071237,146.067047176675,141.120334517947,142.032830357844,793500,133.916732788086
2019-08-26,143.002970010497,144.376513757295,138.229159477137,138.843894905153,1258500,130.910003662109
2019-08-27,140.236653256202,140.957047022929,139.333757390206,140.476784511778,582700,132.449600219727
2019-08-28,139.900463635816,142.426649134536,138.949553243864,142.052044962096,547600,133.934783935547
2019-08-29,144.001909584855,145.798086686497,144.001909584855,145.26980964939,630300,136.968688964844
2019-08-30,146.85467007361,147.632692996643,146.508880479323,146.7586117088,728200,138.372467041016
2019-09-03,144.991249185311,145.039278367716,140.169409469545,142.378619952131,722400,134.242767333984
2019-09-04,144.174811710223,144.70308874733,142.954940828093,143.915465850395,665100,135.691757202148
2019-09-05,147.085201355284,153.789661907152,146.806640891205,152.435318108157,1086300,143.72477722168
2019-09-06,152.396903556102,155.316893175065,151.62848060697,154.682943142798,1034600,145.843948364258
2019-09-09,155.614653586947,156.968997385942,155.028732737085,155.595453639144,852700,146.704345703125
2019-09-10,155.576239034893,157.401230714688,154.116236897187,157.401230714688,857200,148.406951904297
2019-09-11,155.384136961722,157.401230714688,153.722418120495,157.314786980229,917600,148.325408935547
2019-09-12,158.486628679954,161.118472517385,157.055441120402,159.57202664522,1071000,150.453643798828
2019-09-13,160.964784996269,163.385312156278,159.360709967797,160.167547468984,997800,151.015151977539
2019-09-16,159.523997462815,160.551751615326,158.332941158838,159.255051629086,1150100,150.154800415039
2019-09-17,157.919922434343,158.284911976433,155.355322383569,157.583732813958,791000,148.578964233398
2019-09-18,156.603993187403,158.006366168803,155.124791101895,157.122684907058,1203100,148.144271850586
2019-09-19,157.209128641518,158.601886992567,156.527164083294,156.57517860925,1044200,147.628082275391
2019-09-20,157.756634939326,158.505843284206,155.441766118028,155.662682769352,1625100,146.767730712891
2019-09-23,154.596499408338,158.284911976433,153.703218172692,157.689391152669,1009700,148.678649902344
2019-09-24,157.88149322584,158.179253637722,154.279524392205,154.779001507608,1241300,145.934539794922
2019-09-25,154.385182730916,156.594393213502,152.329659769446,156.008472363639,888000,147.093765258789
2019-09-26,155.82597026437,158.400184945495,155.82597026437,157.036241172599,986800,148.062789916992
2019-09-27,158.284911976433,159.917816239507,156.565578635349,159.687284957833,757700,150.56233215332
2019-09-30,155.605053613046,158.678730753125,153.693603542342,158.294526606783,1149700,149.249176025391
2019-10-01,159.802543270445,161.310574590556,155.681897373604,155.883599420676,959500,146.976028442383
2019-10-02,154.250709814051,154.250709814051,147.719136731103,149.678615984212,1651600,141.125579833984
2019-10-03,148.977436821736,152.224001430735,147.017957568628,152.118343092023,815000,143.425888061523
2019-10-04,152.156772300527,153.136497270632,150.696770162821,153.078868114326,486800,144.33154296875
2019-10-07,152.944395197462,153.098082718578,150.629541032613,150.744799345226,664900,142.130844116211
