date,ticker,trade_type,position_type,quantity,price,value,option_details
2022-04-06,SPY,open,option,-24,12.00780584887002,-28818.73403728805,"{'strike': 427, 'expiration': datetime.date(2022, 5, 6), 'option_type': 'call', 'strategy': 'dispersion'}"
2022-04-06,SPY,open,option,-27,10.93268534653231,-29518.250435637237,"{'strike': 427, 'expiration': datetime.date(2022, 5, 6), 'option_type': 'put', 'strategy': 'dispersion'}"
2022-04-06,AAPL,open,option,4,6.286126202252163,2514.450480900865,"{'strike': 169, 'expiration': datetime.date(2022, 5, 6), 'option_type': 'call', 'strategy': 'dispersion'}"
2022-04-06,AAPL,open,option,5,5.918397267751757,2959.198633875879,"{'strike': 169, 'expiration': datetime.date(2022, 5, 6), 'option_type': 'put', 'strategy': 'dispersion'}"
2022-04-06,NVDA,open,option,12,2.2087713840470293,2650.525660856435,"{'strike': 24, 'expiration': datetime.date(2022, 5, 6), 'option_type': 'call', 'strategy': 'dispersion'}"
2022-04-06,NVDA,open,option,15,1.800964515548353,2701.4467733225297,"{'strike': 24, 'expiration': datetime.date(2022, 5, 6), 'option_type': 'put', 'strategy': 'dispersion'}"
2022-04-06,MSFT,open,option,2,12.467201725815642,2493.4403451631283,"{'strike': 292, 'expiration': datetime.date(2022, 5, 6), 'option_type': 'call', 'strategy': 'dispersion'}"
2022-04-06,MSFT,open,option,2,12.040513510745711,2408.1027021491423,"{'strike': 292, 'expiration': datetime.date(2022, 5, 6), 'option_type': 'put', 'strategy': 'dispersion'}"
2022-04-06,AMZN,open,option,2,7.874434966201676,1574.8869932403352,"{'strike': 159, 'expiration': datetime.date(2022, 5, 6), 'option_type': 'call', 'strategy': 'dispersion'}"
2022-04-06,AMZN,open,option,2,7.857283105967213,1571.4566211934425,"{'strike': 159, 'expiration': datetime.date(2022, 5, 6), 'option_type': 'put', 'strategy': 'dispersion'}"
2022-04-06,META,open,option,1,12.926308290945755,1292.6308290945756,"{'strike': 222, 'expiration': datetime.date(2022, 5, 6), 'option_type': 'call', 'strategy': 'dispersion'}"
2022-04-06,META,open,option,1,12.309143604531528,1230.9143604531528,"{'strike': 222, 'expiration': datetime.date(2022, 5, 6), 'option_type': 'put', 'strategy': 'dispersion'}"
2022-04-06,GOOGL,open,option,1,5.544605384694492,554.4605384694491,"{'strike': 136, 'expiration': datetime.date(2022, 5, 6), 'option_type': 'call', 'strategy': 'dispersion'}"
2022-04-06,GOOGL,open,option,1,5.422957736192004,542.2957736192004,"{'strike': 136, 'expiration': datetime.date(2022, 5, 6), 'option_type': 'put', 'strategy': 'dispersion'}"
2022-04-06,AVGO,open,option,3,2.734839592025601,820.4518776076803,"{'strike': 56, 'expiration': datetime.date(2022, 5, 6), 'option_type': 'call', 'strategy': 'dispersion'}"
2022-04-06,AVGO,open,option,4,2.164836888485997,865.9347553943987,"{'strike': 56, 'expiration': datetime.date(2022, 5, 6), 'option_type': 'put', 'strategy': 'dispersion'}"
2022-04-06,GOOG,open,option,1,5.37583706222847,537.583706222847,"{'strike': 137, 'expiration': datetime.date(2022, 5, 6), 'option_type': 'call', 'strategy': 'dispersion'}"
2022-04-06,GOOG,open,option,1,5.621489189209257,562.1489189209257,"{'strike': 137, 'expiration': datetime.date(2022, 5, 6), 'option_type': 'put', 'strategy': 'dispersion'}"
2022-04-06,TSLA,open,option,1,25.724030034596723,2572.403003459672,"{'strike': 349, 'expiration': datetime.date(2022, 5, 6), 'option_type': 'call', 'strategy': 'dispersion'}"
2022-04-06,TSLA,open,option,1,25.56413275743725,2556.413275743725,"{'strike': 349, 'expiration': datetime.date(2022, 5, 6), 'option_type': 'put', 'strategy': 'dispersion'}"
2022-04-06,JPM,open,option,1,5.25517407731985,525.517407731985,"{'strike': 121, 'expiration': datetime.date(2022, 5, 6), 'option_type': 'call', 'strategy': 'dispersion'}"
2022-04-06,JPM,open,option,1,4.91562525554879,491.56252555487896,"{'strike': 121, 'expiration': datetime.date(2022, 5, 6), 'option_type': 'put', 'strategy': 'dispersion'}"
2022-04-06,LLY,open,option,1,8.081348522679974,808.1348522679974,"{'strike': 298, 'expiration': datetime.date(2022, 5, 6), 'option_type': 'call', 'strategy': 'dispersion'}"
2022-04-06,LLY,open,option,1,8.033507788635887,803.3507788635887,"{'strike': 298, 'expiration': datetime.date(2022, 5, 6), 'option_type': 'put', 'strategy': 'dispersion'}"
2022-04-06,V,open,option,1,8.888419914766331,888.8419914766331,"{'strike': 214, 'expiration': datetime.date(2022, 5, 6), 'option_type': 'call', 'strategy': 'dispersion'}"
2022-04-06,V,open,option,1,8.531480681710661,853.1480681710661,"{'strike': 214, 'expiration': datetime.date(2022, 5, 6), 'option_type': 'put', 'strategy': 'dispersion'}"
2022-04-06,XOM,open,option,1,3.790798808570017,379.0798808570017,"{'strike': 75, 'expiration': datetime.date(2022, 5, 6), 'option_type': 'call', 'strategy': 'dispersion'}"
2022-04-06,XOM,open,option,1,3.2724479244218188,327.24479244218185,"{'strike': 75, 'expiration': datetime.date(2022, 5, 6), 'option_type': 'put', 'strategy': 'dispersion'}"
2022-04-06,UNH,open,option,1,15.969537305116887,1596.9537305116887,"{'strike': 509, 'expiration': datetime.date(2022, 5, 6), 'option_type': 'call', 'strategy': 'dispersion'}"
2022-04-06,UNH,open,option,1,15.534574320160232,1553.4574320160232,"{'strike': 509, 'expiration': datetime.date(2022, 5, 6), 'option_type': 'put', 'strategy': 'dispersion'}"
2022-04-06,MA,open,option,1,15.80405999138577,1580.405999138577,"{'strike': 347, 'expiration': datetime.date(2022, 5, 6), 'option_type': 'call', 'strategy': 'dispersion'}"
2022-04-06,MA,open,option,1,14.94041643474364,1494.0416434743638,"{'strike': 347, 'expiration': datetime.date(2022, 5, 6), 'option_type': 'put', 'strategy': 'dispersion'}"
2022-04-06,COST,open,option,1,12.01424147730387,1201.424147730387,"{'strike': 561, 'expiration': datetime.date(2022, 5, 6), 'option_type': 'call', 'strategy': 'dispersion'}"
2022-04-06,COST,open,option,1,11.417636348738085,1141.7636348738085,"{'strike': 561, 'expiration': datetime.date(2022, 5, 6), 'option_type': 'put', 'strategy': 'dispersion'}"
2022-04-06,NFLX,open,option,1,21.40455298980703,2140.455298980703,"{'strike': 368, 'expiration': datetime.date(2022, 5, 6), 'option_type': 'call', 'strategy': 'dispersion'}"
2022-04-06,NFLX,open,option,1,20.45011231109129,2045.0112311091289,"{'strike': 368, 'expiration': datetime.date(2022, 5, 6), 'option_type': 'put', 'strategy': 'dispersion'}"
2022-04-06,PG,open,option,1,4.600128316877047,460.0128316877047,"{'strike': 146, 'expiration': datetime.date(2022, 5, 6), 'option_type': 'call', 'strategy': 'dispersion'}"
2022-04-06,PG,open,option,1,4.844380034537593,484.43800345375934,"{'strike': 146, 'expiration': datetime.date(2022, 5, 6), 'option_type': 'put', 'strategy': 'dispersion'}"
2022-04-06,JNJ,open,option,1,4.626760200093159,462.6760200093159,"{'strike': 167, 'expiration': datetime.date(2022, 5, 6), 'option_type': 'call', 'strategy': 'dispersion'}"
2022-04-06,JNJ,open,option,1,4.5685448738051235,456.85448738051235,"{'strike': 167, 'expiration': datetime.date(2022, 5, 6), 'option_type': 'put', 'strategy': 'dispersion'}"
2022-04-06,ABBV,open,option,1,3.5039811971899155,350.39811971899155,"{'strike': 151, 'expiration': datetime.date(2022, 5, 6), 'option_type': 'call', 'strategy': 'dispersion'}"
2022-04-06,ABBV,open,option,1,3.3621365774240104,336.21365774240104,"{'strike': 151, 'expiration': datetime.date(2022, 5, 6), 'option_type': 'put', 'strategy': 'dispersion'}"
2022-04-06,WMT,open,option,3,0.9455591741611222,283.6677522483367,"{'strike': 50, 'expiration': datetime.date(2022, 5, 6), 'option_type': 'call', 'strategy': 'dispersion'}"
2022-04-06,WMT,open,option,2,1.301823735689286,260.3647471378572,"{'strike': 50, 'expiration': datetime.date(2022, 5, 6), 'option_type': 'put', 'strategy': 'dispersion'}"
2022-04-06,HD,open,option,1,9.535480866985893,953.5480866985893,"{'strike': 276, 'expiration': datetime.date(2022, 5, 6), 'option_type': 'call', 'strategy': 'dispersion'}"
