date,ticker,trade_type,position_type,quantity,price,value,option_details
2023-02-17,SPY,open,option,31,9.468789156873072,29353.246386306524,"{'strike': 395, 'expiration': datetime.date(2023, 3, 20), 'option_type': 'call', 'strategy': 'reverse_dispersion'}"
2023-02-17,SPY,open,option,33,8.90411267637512,29383.5718320379,"{'strike': 395, 'expiration': datetime.date(2023, 3, 20), 'option_type': 'put', 'strategy': 'reverse_dispersion'}"
2023-02-17,AAPL,open,option,-6,5.209490950272439,-3125.6945701634636,"{'strike': 151, 'expiration': datetime.date(2023, 3, 20), 'option_type': 'call', 'strategy': 'reverse_dispersion'}"
2023-02-17,AAPL,open,option,-7,4.926268498308502,-3448.387948815952,"{'strike': 151, 'expiration': datetime.date(2023, 3, 20), 'option_type': 'put', 'strategy': 'reverse_dispersion'}"
2023-02-17,NVDA,open,option,-16,1.9191617784645576,-3070.658845543292,"{'strike': 21, 'expiration': datetime.date(2023, 3, 20), 'option_type': 'call', 'strategy': 'reverse_dispersion'}"
2023-02-17,NVDA,open,option,-21,1.5130317040733594,-3177.3665785540547,"{'strike': 21, 'expiration': datetime.date(2023, 3, 20), 'option_type': 'put', 'strategy': 'reverse_dispersion'}"
2023-02-17,MSFT,open,option,-2,11.671469600590939,-2334.293920118188,"{'strike': 254, 'expiration': datetime.date(2023, 3, 20), 'option_type': 'call', 'strategy': 'reverse_dispersion'}"
2023-02-17,MSFT,open,option,-2,11.220486316196656,-2244.0972632393314,"{'strike': 254, 'expiration': datetime.date(2023, 3, 20), 'option_type': 'put', 'strategy': 'reverse_dispersion'}"
2023-02-17,AMZN,open,option,-2,6.726017578527994,-1345.2035157055989,"{'strike': 97, 'expiration': datetime.date(2023, 3, 20), 'option_type': 'call', 'strategy': 'reverse_dispersion'}"
2023-02-17,AMZN,open,option,-3,6.361393366997369,-1908.4180100992107,"{'strike': 97, 'expiration': datetime.date(2023, 3, 20), 'option_type': 'put', 'strategy': 'reverse_dispersion'}"
2023-02-17,META,open,option,-1,18.58612377709069,-1858.612377709069,"{'strike': 172, 'expiration': datetime.date(2023, 3, 20), 'option_type': 'call', 'strategy': 'reverse_dispersion'}"
2023-02-17,META,open,option,-1,18.22516137219496,-1822.5161372194962,"{'strike': 172, 'expiration': datetime.date(2023, 3, 20), 'option_type': 'put', 'strategy': 'reverse_dispersion'}"
2023-02-17,GOOGL,open,option,-1,6.31654008572977,-631.654008572977,"{'strike': 94, 'expiration': datetime.date(2023, 3, 20), 'option_type': 'call', 'strategy': 'reverse_dispersion'}"
2023-02-17,GOOGL,open,option,-1,6.255950004961122,-625.5950004961121,"{'strike': 94, 'expiration': datetime.date(2023, 3, 20), 'option_type': 'put', 'strategy': 'reverse_dispersion'}"
2023-02-17,AVGO,open,option,-4,2.4121530333143966,-964.8612133257586,"{'strike': 57, 'expiration': datetime.date(2023, 3, 20), 'option_type': 'call', 'strategy': 'reverse_dispersion'}"
2023-02-17,AVGO,open,option,-4,2.0290744951266255,-811.6297980506502,"{'strike': 57, 'expiration': datetime.date(2023, 3, 20), 'option_type': 'put', 'strategy': 'reverse_dispersion'}"
2023-02-17,GOOG,open,option,-1,6.488316652784206,-648.8316652784206,"{'strike': 94, 'expiration': datetime.date(2023, 3, 20), 'option_type': 'call', 'strategy': 'reverse_dispersion'}"
2023-02-17,GOOG,open,option,-1,6.184692209222561,-618.4692209222561,"{'strike': 94, 'expiration': datetime.date(2023, 3, 20), 'option_type': 'put', 'strategy': 'reverse_dispersion'}"
2023-02-17,TSLA,open,option,-1,20.54563579959469,-2054.5635799594693,"{'strike': 208, 'expiration': datetime.date(2023, 3, 20), 'option_type': 'call', 'strategy': 'reverse_dispersion'}"
2023-02-17,TSLA,open,option,-1,19.88262307848531,-1988.262307848531,"{'strike': 208, 'expiration': datetime.date(2023, 3, 20), 'option_type': 'put', 'strategy': 'reverse_dispersion'}"
2023-02-17,JPM,open,option,-1,3.874002831997757,-387.4002831997757,"{'strike': 134, 'expiration': datetime.date(2023, 3, 20), 'option_type': 'call', 'strategy': 'reverse_dispersion'}"
2023-02-17,JPM,open,option,-2,3.2746313601123305,-654.926272022466,"{'strike': 134, 'expiration': datetime.date(2023, 3, 20), 'option_type': 'put', 'strategy': 'reverse_dispersion'}"
