date,ticker,trade_type,position_type,quantity,price,value,option_details
2020-01-02,SPY,open,option,-41,4.837636329909344,-19834.30895262831,"{'strike': 300, 'expiration': datetime.date(2020, 2, 3), 'option_type': 'call', 'strategy': 'dispersion'}"
2020-01-02,SPY,open,option,-49,4.0205048965206345,-19700.47399295111,"{'strike': 300, 'expiration': datetime.date(2020, 2, 3), 'option_type': 'put', 'strategy': 'dispersion'}"
2020-01-02,AAPL,open,option,9,2.4369882058631447,2193.28938527683,"{'strike': 73, 'expiration': datetime.date(2020, 2, 3), 'option_type': 'call', 'strategy': 'dispersion'}"
2020-01-02,AAPL,open,option,8,2.593028276961185,2074.4226215689478,"{'strike': 73, 'expiration': datetime.date(2020, 2, 3), 'option_type': 'put', 'strategy': 'dispersion'}"
2020-01-02,NVDA,open,option,65,0.30820988325636867,2003.3642411663961,"{'strike': 6, 'expiration': datetime.date(2020, 2, 3), 'option_type': 'call', 'strategy': 'dispersion'}"
2020-01-02,NVDA,open,option,61,0.32553726038692465,1985.7772883602404,"{'strike': 6, 'expiration': datetime.date(2020, 2, 3), 'option_type': 'put', 'strategy': 'dispersion'}"
2020-01-02,MSFT,open,option,5,3.5493165745042603,1774.65828725213,"{'strike': 153, 'expiration': datetime.date(2020, 2, 3), 'option_type': 'call', 'strategy': 'dispersion'}"
2020-01-02,MSFT,open,option,6,2.9580202173040533,1774.8121303824319,"{'strike': 153, 'expiration': datetime.date(2020, 2, 3), 'option_type': 'put', 'strategy': 'dispersion'}"
2020-01-02,AMZN,open,option,3,3.614923227274055,1084.4769681822165,"{'strike': 95, 'expiration': datetime.date(2020, 2, 3), 'option_type': 'call', 'strategy': 'dispersion'}"
2020-01-02,AMZN,open,option,3,3.5479964016227896,1064.398920486837,"{'strike': 95, 'expiration': datetime.date(2020, 2, 3), 'option_type': 'put', 'strategy': 'dispersion'}"
2020-01-02,META,open,option,1,7.528456912226332,752.8456912226331,"{'strike': 209, 'expiration': datetime.date(2020, 2, 3), 'option_type': 'call', 'strategy': 'dispersion'}"
2020-01-02,META,open,option,1,7.36636804227804,736.6368042278041,"{'strike': 209, 'expiration': datetime.date(2020, 2, 3), 'option_type': 'put', 'strategy': 'dispersion'}"
2020-01-02,GOOGL,open,option,3,1.8500690111118558,555.0207033335568,"{'strike': 68, 'expiration': datetime.date(2020, 2, 3), 'option_type': 'call', 'strategy': 'dispersion'}"
2020-01-02,GOOGL,open,option,4,1.6225726863405328,649.0290745362131,"{'strike': 68, 'expiration': datetime.date(2020, 2, 3), 'option_type': 'put', 'strategy': 'dispersion'}"
2020-01-02,AVGO,open,option,4,1.2499830547289132,499.9932218915653,"{'strike': 28, 'expiration': datetime.date(2020, 2, 3), 'option_type': 'call', 'strategy': 'dispersion'}"
2020-01-02,AVGO,open,option,4,1.2991777102200572,519.6710840880229,"{'strike': 28, 'expiration': datetime.date(2020, 2, 3), 'option_type': 'put', 'strategy': 'dispersion'}"
