date,continuous_portfolio_value
2019-11-04,1000000.0
2019-11-05,1000000.0
2019-11-06,1000000.0
2019-11-07,1000000.0
2019-11-08,1000000.0
2019-11-11,1000000.0
2019-11-12,1000000.0
2019-11-13,1000000.0
2019-11-14,1000000.0
2019-11-15,1000000.0
2019-11-18,1000000.0
2019-11-19,1000000.0
2019-11-20,1000000.0
2019-11-21,1000000.0
2019-11-22,1000000.0
2019-11-25,1000000.0
2019-11-26,1000000.0
2019-11-27,1000000.0
2019-11-29,1000000.0
2019-12-02,1000000.0
2019-12-03,1000000.0
2019-12-04,1000000.0
2019-12-05,1000000.0
2019-12-06,1000000.0
2019-12-09,1000000.0
2019-12-10,1000000.0
2019-12-11,1000000.0
2019-12-12,1000000.0
2019-12-13,1000000.0
2019-12-16,1000000.0
2019-12-17,1000000.0
2019-12-18,1000000.0
2019-12-19,1000000.0
2019-12-20,1000000.0
2019-12-23,1000000.0
2019-12-24,1000000.0
2019-12-26,1000000.0
2019-12-27,1000000.0
2019-12-30,1000000.0
2019-12-31,1000000.0
2020-01-02,1000000.0
2020-01-03,980805.9645245511
2020-01-06,972964.0410182693
2020-01-07,943462.2035013268
2020-01-08,908167.9320159556
2020-01-09,877318.9594191565
2020-01-10,872997.0612887933
2020-01-13,856304.6449730891
2020-01-14,843049.8138778605
2020-01-15,835980.6841656844
2020-01-16,832345.5924907621
2020-01-17,834064.1831507243
2020-01-21,838832.1623193411
2020-01-22,840592.4541222035
2020-01-23,837477.4557935637
2020-01-24,842909.1621144327
2020-01-27,844660.7729411988
2020-01-28,895060.8898954422
2020-01-29,759684.9365568659
2020-01-30,759684.9365568659
2020-01-31,759684.9365568659
2020-02-03,759684.9365568659
2020-02-04,759684.9365568659
2020-02-05,759684.9365568659
2020-02-06,759684.9365568659
2020-02-07,759684.9365568659
2020-02-10,759684.9365568659
2020-02-11,759684.9365568659
2020-02-12,759684.9365568659
2020-02-13,759684.9365568659
2020-02-14,759684.9365568659
2020-02-18,759684.9365568659
2020-02-19,759684.9365568659
2020-02-20,759684.9365568659
2020-02-21,759684.9365568659
2020-02-24,759684.9365568659
2020-02-25,759684.9365568659
2020-02-26,771433.3471518992
2020-02-27,778934.8795984382
2020-02-28,797858.1541348554
2020-03-02,825253.2852341043
2020-03-03,829946.1007335982
2020-03-04,833512.3308400384
2020-03-05,899582.9374616977
2020-03-06,910719.8997315826
2020-03-09,918700.2640722952
2020-03-10,949584.4238786468
2020-03-11,958300.9060812528
2020-03-12,940149.5463006805
2020-03-13,1135158.6783150805
2020-03-16,1098941.8710169967
2020-03-17,971907.6470658171
2020-03-18,911581.0741295941
2020-03-19,904036.0923016994
2020-03-20,895443.8783031392
2020-03-23,886680.2308679947
2020-03-24,866395.6704279666
2020-03-25,864474.0104618818
2020-03-26,859047.3366590337
2020-03-27,844480.0016482086
2020-03-30,843035.3228018011
2020-03-31,835403.5104418211
2020-04-01,831594.5761315993
2020-04-02,754549.828057446
2020-04-03,754549.828057446
2020-04-06,754549.828057446
2020-04-07,754549.828057446
2020-04-08,754549.828057446
2020-04-09,754549.828057446
2020-04-13,754549.828057446
2020-04-14,754549.828057446
2020-04-15,754549.828057446
2020-04-16,754549.828057446
2020-04-17,754549.828057446
2020-04-20,754549.828057446
2020-04-21,754549.828057446
2020-04-22,754549.828057446
2020-04-23,754549.828057446
2020-04-24,754549.828057446
2020-04-27,754549.828057446
2020-04-28,754549.828057446
2020-04-29,754549.828057446
2020-04-30,754549.828057446
2020-05-01,754549.828057446
2020-05-04,754549.828057446
2020-05-05,754549.828057446
2020-05-06,754549.828057446
2020-05-07,757546.4036969973
2020-05-08,752158.2075224571
2020-05-11,745046.8033291016
2020-05-12,720409.5426782373
2020-05-13,703481.3025080031
2020-05-14,692358.098603497
2020-05-15,694743.3389648544
2020-05-18,681719.0791092602
2020-05-19,682002.181952232
2020-05-20,681401.4368271385
2020-05-21,682123.2935732513
2020-05-22,681250.047709965
2020-05-26,682488.6993827797
2020-05-27,683162.8700296124
2020-05-28,683261.4357639708
2020-05-29,681987.1760599875
2020-06-01,682203.723943377
2020-06-02,682139.7644087577
2020-06-03,682351.2118588148
2020-06-04,682447.8595221785
2020-06-05,684097.0560119132
2020-06-08,685797.6403959496
2020-06-09,685474.5048399201
2020-06-10,684995.6528782819
2020-06-11,686986.2494738743
2020-06-12,687016.2494738743
2020-06-15,696944.3942126699
2020-06-16,702616.5079965461
2020-06-17,715057.4984557375
2020-06-18,715057.4984557375
2020-06-19,720509.7603749989
2020-06-22,724669.923122328
2020-06-23,690629.0296720386
2020-06-24,687751.6502197928
2020-06-25,679086.5351461354
2020-06-26,674747.0558246326
2020-06-29,667729.7973997807
2020-06-30,668833.6004229843
2020-07-01,669991.8376493237
2020-07-02,661508.5644558938
2020-07-06,660428.042493142
2020-07-07,660957.165603214
2020-07-08,659966.0883469535
2020-07-09,667842.1009222717
2020-07-10,688595.9952764028
2020-07-13,713555.339994344
2020-07-14,722488.5958189653
2020-07-15,740640.0548646441
2020-07-16,769710.2643227744
2020-07-17,776355.0703529826
2020-07-20,787253.1094466167
2020-07-21,781327.3672445206
2020-07-22,841110.78010572
2020-07-23,841110.78010572
2020-07-24,841110.78010572
2020-07-27,841110.78010572
2020-07-28,841110.78010572
2020-07-29,841110.78010572
2020-07-30,841110.78010572
2020-07-31,841110.78010572
2020-08-03,841110.78010572
2020-08-04,841110.78010572
2020-08-05,841110.78010572
2020-08-06,841110.78010572
2020-08-07,841110.78010572
2020-08-10,841110.78010572
2020-08-11,841110.78010572
2020-08-12,841110.78010572
2020-08-13,841110.78010572
2020-08-14,841110.78010572
2020-08-17,841110.78010572
2020-08-18,841110.78010572
2020-08-19,841110.78010572
2020-08-20,841110.78010572
2020-08-21,841110.78010572
2020-08-24,841110.78010572
2020-08-25,841110.78010572
2020-08-26,841110.78010572
2020-08-27,841110.78010572
2020-08-28,856212.8698637176
2020-08-31,880971.3537769486
2020-09-01,880262.8214622635
2020-09-02,890715.5057041191
2020-09-03,932675.9778523451
2020-09-04,977427.0080857335
2020-09-08,1021276.9869098847
2020-09-09,1040309.4982557575
2020-09-10,1104074.7610956705
2020-09-11,1104074.7610956705
2020-09-14,1104074.7610956705
2020-09-15,1104074.7610956705
2020-09-16,1104074.7610956705
2020-09-17,1104074.7610956705
2020-09-18,1104074.7610956705
2020-09-21,1104074.7610956705
2020-09-22,1104074.7610956705
2020-09-23,1104074.7610956705
2020-09-24,1104074.7610956705
2020-09-25,1104074.7610956705
2020-09-28,1104074.7610956705
2020-09-29,1104074.7610956705
2020-09-30,1104074.7610956705
2020-10-01,1104074.7610956705
2020-10-02,1104074.7610956705
2020-10-05,1104074.7610956705
2020-10-06,1104074.7610956705
2020-10-07,1104074.7610956705
2020-10-08,1104074.7610956705
2020-10-09,1104074.7610956705
2020-10-12,1104074.7610956705
2020-10-13,1104074.7610956705
2020-10-14,1104074.7610956705
2020-10-15,1104074.7610956705
2020-10-16,1104074.7610956705
2020-10-19,1104074.7610956705
2020-10-20,1104074.7610956705
2020-10-21,1104074.7610956705
2020-10-22,1104074.7610956705
2020-10-23,1104074.7610956705
2020-10-26,1104074.7610956705
2020-10-27,1104074.7610956705
2020-10-28,1113350.957333377
2020-10-29,1102881.0131421457
2020-10-30,1093374.9825150785
2020-11-02,1064493.5145737368
2020-11-03,1037613.4940927031
2020-11-04,1030980.05421668
2020-11-05,1028080.4039620087
2020-11-06,1017420.5546193405
2020-11-09,1030525.4238857676
2020-11-10,1033217.9024226138
2020-11-11,1043146.3772477541
2020-11-12,1035445.8152446313
2020-11-13,1046195.3920405549
2020-11-16,1057001.5965636407
2020-11-17,1051692.1329704123
2020-11-18,1040435.5408599407
2020-11-19,1043777.6009380957
2020-11-20,1037405.4017858243
2020-11-23,1043934.0497728133
2020-11-24,1060911.1608731286
2020-11-25,1059202.619388187
2020-11-27,1061811.219453408
2020-11-30,1033387.4707398547
2020-12-01,1042168.6128508103
2020-12-02,1016746.2884636867
2020-12-03,997227.45364909
2020-12-04,977689.2378977649
2020-12-07,977673.2378977649
2020-12-08,977673.2378977649
2020-12-09,977673.2378977649
2020-12-10,977673.2378977649
2020-12-11,977673.2378977649
2020-12-14,977673.2378977649
2020-12-15,977673.2378977649
2020-12-16,977673.2378977649
2020-12-17,977673.2378977649
2020-12-18,977673.2378977649
2020-12-21,977673.2378977649
2020-12-22,977673.2378977649
2020-12-23,977673.2378977649
2020-12-24,977673.2378977649
2020-12-28,977673.2378977649
2020-12-29,977673.2378977649
2020-12-30,977673.2378977649
2021-02-01,977673.2378977649
2021-02-02,977673.2378977649
2021-02-03,977673.2378977649
2021-02-04,977673.2378977649
2021-02-05,977673.2378977649
2021-02-08,977673.2378977649
2021-02-09,977673.2378977649
2021-02-10,977673.2378977649
2021-02-11,977673.2378977649
2021-02-12,977673.2378977649
2021-02-16,977673.2378977649
2021-02-17,977673.2378977649
2021-02-18,977673.2378977649
2021-02-19,977673.2378977649
2021-02-22,977673.2378977649
2021-02-23,977673.2378977649
2021-02-24,977673.2378977649
2021-02-25,977673.2378977649
2021-02-26,977673.2378977649
2021-03-01,977673.2378977649
2021-03-02,977673.2378977649
2021-03-03,977673.2378977649
2021-03-04,977673.2378977649
2021-03-05,977673.2378977649
2021-03-08,977673.2378977649
2021-03-09,977673.2378977649
2021-03-10,977673.2378977649
2021-03-11,977673.2378977649
2021-03-12,977673.2378977649
2021-03-15,977673.2378977649
2021-03-16,977673.2378977649
2021-03-17,977673.2378977649
2021-03-18,977673.2378977649
2021-03-19,943381.1683530068
2021-03-22,905464.2920062497
2021-03-23,870680.2928774366
2021-03-24,870680.2928774366
2021-03-25,870680.2928774366
2021-03-26,870680.2928774366
2021-03-29,870680.2928774366
2021-03-30,870680.2928774366
2021-03-31,870680.2928774366
2021-04-01,870680.2928774366
2021-04-05,870680.2928774366
2021-04-06,870680.2928774366
2021-04-07,870680.2928774366
2021-04-08,870680.2928774366
2021-04-09,870680.2928774366
2021-04-12,870680.2928774366
2021-04-13,870680.2928774366
2021-04-14,870680.2928774366
2021-04-15,870680.2928774366
2021-04-16,870680.2928774366
2021-04-19,870680.2928774366
2021-04-20,870680.2928774366
2021-04-21,870680.2928774366
2021-04-22,870680.2928774366
2021-04-23,870680.2928774366
2021-04-26,870680.2928774366
2021-04-27,870680.2928774366
2021-04-28,870680.2928774366
2021-04-29,952912.2768812733
2021-04-30,1039927.0505637437
2021-05-03,1132576.089733189
2021-05-04,1294908.0618399312
2021-05-05,1252491.239101532
2021-05-06,1241004.8966436137
2021-05-07,1277257.560792262
2021-05-10,1235363.3157214755
2021-05-11,1258754.2271893965
2021-05-12,1231314.9433853398
2021-05-13,1255723.1327922912
2021-05-14,1291008.6612380617
2021-05-17,1293958.925917758
2021-05-18,1297476.7959943372
2021-05-19,1308889.059485071
2021-05-20,1340170.7329729793
2021-05-21,1362382.3327582849
2021-05-24,1386713.102556344
2021-05-25,1419327.9920875623
2021-05-26,1442343.5107620151
2021-05-27,1443703.0092297585
2021-05-28,1482849.8650798663
2021-06-01,1512174.4711055805
2021-06-02,1525873.7975059198
2021-06-03,1525899.2170101053
2021-06-04,1525899.2170101053
2021-06-07,1525899.2170101053
2021-06-08,1525899.2170101053
2021-06-09,1525899.2170101053
2021-06-10,1634947.8817739373
2021-06-11,1768292.3573549865
2021-06-14,1965392.3420404745
2021-06-15,1982993.5438966774
2021-06-16,2012246.3795345214
2021-06-17,1988459.4436910714
2021-06-18,1765945.5753944637
2021-06-21,1766405.6928401962
2021-06-22,1751706.640440366
2021-06-23,1677226.2847797174
2021-06-24,1679978.3776208642
2021-06-25,1691108.741098802
2021-06-28,1662483.8372565648
2021-06-29,1651850.4511987981
2021-06-30,1661776.9577550755
2021-07-01,1667888.8625793369
2021-07-02,1639225.5132058368
2021-07-06,1614251.0024464158
2021-07-07,1634041.7578578673
2021-07-08,1702339.3293036958
2021-07-09,1800179.8846229445
2021-07-12,1953328.8105941662
2021-07-13,1978140.0590565752
2021-07-14,1974752.2663164136
2021-07-15,2105055.867819293
2021-07-16,2105055.867819293
2021-07-19,2105055.867819293
2021-07-20,2105055.867819293
2021-07-21,2105055.867819293
2021-07-22,2105055.867819293
2021-07-23,2105055.867819293
2021-07-26,2105055.867819293
2021-07-27,2105055.867819293
2021-07-28,2105055.867819293
2021-07-29,2105055.867819293
2021-07-30,2105055.867819293
2021-08-02,2105055.867819293
2021-08-03,2236553.7797111743
2021-08-04,2217773.672722075
2021-08-05,2262318.5464612213
2021-08-06,2279932.3677154444
2021-08-09,2307877.6556471726
2021-08-10,2321438.210004502
2021-08-11,2351874.169916445
2021-08-12,2359599.4779576054
2021-08-13,2362452.907903437
2021-08-16,2365417.551605362
2021-08-17,2355563.1390914195
2021-08-18,2347334.1064770864
2021-08-19,2242896.019726855
2021-08-20,2242025.5693711606
2021-08-23,2245525.9241230437
2021-08-24,2247108.588194617
2021-08-25,2246805.4098452996
2021-08-26,2247079.334835154
2021-08-27,2248177.975214749
2021-08-30,2247464.2318918835
2021-08-31,2247783.6901854156
2021-09-01,2258151.8708961587
2021-09-02,2258181.2010932956
2021-09-03,2258181.2010932956
2021-09-07,2258181.2010932956
2021-09-08,2258181.2010932956
2021-09-09,2258181.2010932956
2021-09-10,2258181.2010932956
2021-09-13,2258181.2010932956
2021-09-14,2258181.2010932956
2021-09-15,2258181.2010932956
2021-09-16,2258181.2010932956
2021-09-17,2258181.2010932956
2021-09-20,2258181.2010932956
2021-09-21,2232285.968174572
2021-09-22,2130354.4730956177
2021-09-23,2026410.9023493745
2021-09-24,1963396.260156949
2021-09-27,1941897.615775459
2021-09-28,1962613.9351050965
2021-09-29,2159747.3642294854
2021-09-30,2156543.2419392825
2021-10-01,2152771.7669858844
2021-10-04,2153449.196081699
2021-10-05,2190379.1619853633
2021-10-06,2247886.2599074417
2021-10-07,2309203.5158707183
2021-10-08,2337345.726611738
2021-10-11,2341886.6586154974
2021-10-12,2388847.3321932093
2021-10-13,2411011.5685036588
2021-10-14,2397860.7406870215
2021-10-15,2397860.7406870215
2021-10-18,2397860.7406870215
2021-10-19,2397860.7406870215
2021-10-20,2397860.7406870215
2021-10-21,2397860.7406870215
2021-10-22,2397860.7406870215
2021-10-25,2397860.7406870215
2021-10-26,2397860.7406870215
2021-10-27,2397860.7406870215
2021-10-28,2397860.7406870215
2021-10-29,2397860.7406870215
2021-11-01,2397860.7406870215
2021-11-02,2397860.7406870215
2021-11-03,2397860.7406870215
2021-11-04,2397860.7406870215
2021-11-05,2400103.2025763746
2021-11-08,2360301.7762296256
2021-11-09,2276300.4514331156
2021-11-10,2243187.8792340946
2021-11-11,2320308.450442364
2021-11-12,2320308.450442364
2021-11-15,2320308.450442364
2021-11-16,2320308.450442364
2021-11-17,2320308.450442364
2021-11-18,2320308.450442364
2021-11-19,2320308.450442364
2021-11-22,2320308.450442364
2021-11-23,2320308.450442364
2021-11-24,2320308.450442364
2021-11-26,2320308.450442364
2021-11-29,2320308.450442364
2021-11-30,2320308.450442364
2021-12-01,2320308.450442364
2021-12-02,2320308.450442364
2021-12-03,2320308.450442364
2021-12-06,2253413.63828734
2021-12-07,2112574.1344338185
2021-12-08,2189211.4345861143
2021-12-09,2189211.4345861143
2021-12-10,2189211.4345861143
2021-12-13,2189211.4345861143
2021-12-14,2189211.4345861143
2021-12-15,2189211.4345861143
2021-12-16,2189211.4345861143
2021-12-17,2189211.4345861143
2021-12-20,2189211.4345861143
2021-12-21,2189211.4345861143
2021-12-22,2189211.4345861143
2021-12-23,2189211.4345861143
2021-12-27,2189211.4345861143
2021-12-28,2189211.4345861143
2021-12-29,2189211.4345861143
2021-12-30,2189211.4345861143
2022-01-19,2189211.4345861143
2022-01-20,2189211.4345861143
2022-01-21,2189211.4345861143
2022-01-24,2189211.4345861143
2022-01-25,2189211.4345861143
2022-01-26,2189211.4345861143
2022-01-27,2189211.4345861143
2022-01-28,2189211.4345861143
2022-01-31,2189211.4345861143
2022-02-01,2189211.4345861143
2022-02-02,2189211.4345861143
2022-02-03,2189211.4345861143
2022-02-04,2189211.4345861143
2022-02-07,2189211.4345861143
2022-02-08,2189211.4345861143
2022-02-09,2189211.4345861143
2022-02-10,2189211.4345861143
2022-02-11,2189211.4345861143
2022-02-14,2189211.4345861143
2022-02-15,2189211.4345861143
2022-02-16,2189211.4345861143
2022-02-17,2189211.4345861143
2022-02-18,2189211.4345861143
2022-02-22,2189211.4345861143
2022-02-23,2189211.4345861143
2022-02-24,2189211.4345861143
2022-02-25,2189211.4345861143
2022-02-28,2189211.4345861143
2022-03-01,2189211.4345861143
2022-03-02,2189211.4345861143
2022-03-03,2189211.4345861143
2022-03-04,2189211.4345861143
2022-03-07,2189211.4345861143
2022-03-08,2189211.4345861143
2022-03-09,2189211.4345861143
2022-03-10,2189211.4345861143
2022-03-11,2189211.4345861143
2022-03-14,2189211.4345861143
2022-03-15,2189211.4345861143
2022-03-16,2189211.4345861143
2022-03-17,2189211.4345861143
2022-03-18,2189211.4345861143
2022-03-21,2189211.4345861143
2022-03-22,2189211.4345861143
2022-03-23,2189211.4345861143
2022-03-24,2189211.4345861143
2022-03-25,2189211.4345861143
2022-03-28,2189211.4345861143
2022-03-29,2189211.4345861143
2022-03-30,2189211.4345861143
2022-03-31,2189211.4345861143
2022-04-01,2189211.4345861143
2022-04-04,2189211.4345861143
2022-04-05,2189211.4345861143
2022-04-06,2189211.4345861143
2022-04-07,2103890.137629601
2022-04-08,2004727.8901423349
2022-04-11,1909106.6738042845
2022-04-12,1871948.899399804
2022-04-13,1709182.287896761
2022-04-14,1676012.4062930974
2022-04-18,1715327.4999172697
2022-04-19,1659969.6784219595
2022-04-20,1669837.6075148042
2022-04-21,1781039.1136528912
2022-04-22,1813073.1855264392
2022-04-25,1793879.0895802134
2022-04-26,1884797.2804849716
2022-04-27,1964777.6261668357
2022-04-28,1935397.0520432473
2022-04-29,1559479.0240546968
2022-05-02,1559479.0240546968
2022-05-03,1559479.0240546968
2022-05-04,1559479.0240546968
2022-05-05,1559479.0240546968
2022-05-06,1559479.0240546968
2022-05-09,1559479.0240546968
2022-05-10,1559479.0240546968
2022-05-11,1559479.0240546968
2022-05-12,1559479.0240546968
2022-05-13,1596133.5007559306
2022-05-16,1660839.2975653724
2022-05-17,1660839.2975653724
2022-05-18,1660839.2975653724
2022-05-19,1660839.2975653724
2022-05-20,1660839.2975653724
2022-05-23,1660839.2975653724
2022-05-24,1660839.2975653724
2022-05-25,1660839.2975653724
2022-05-26,1660839.2975653724
2022-05-27,1660839.2975653724
2022-05-31,1668842.6213434418
2022-06-01,1637311.315457507
2022-06-02,1632986.826611003
2022-06-03,1600838.832363218
2022-06-06,1600870.1275145041
2022-06-07,1601041.3501667064
2022-06-08,1601182.4876492145
2022-06-09,1612442.2015373362
2022-06-10,1597753.1246329588
2022-06-13,1611477.916343303
2022-06-14,1612858.3220295405
2022-06-15,1607544.5300001884
2022-06-16,1620474.4583454053
2022-06-17,1619807.2116495026
2022-06-21,1609237.9550257132
2022-06-22,1609305.7509399184
2022-06-23,1604775.1340632716
2022-06-24,1592160.8806333684
2022-06-27,1594211.7904615053
2022-06-28,1602236.296070335
