date,value,cash,drawdown,long_exposure,short_exposure,net_exposure,net_exposure_pct,index_exposure,components_exposure,recovery_mode,return,cumulative_return
2025-01-08,896221.0661841228,816502.8301607412,0.10377893381587719,72069.09896767794,-20198.320113035403,51870.77885464254,0.05787721446394346,-20198.320113035403,72069.09896767794,False,-0.03116223076180502,-0.1037789338158771
2025-01-10,866857.8540322336,808523.9617932056,0.1331421459677664,71386.7806273538,-29010.62512339671,42376.155503957096,0.048884780021132924,-29010.62512339671,71386.7806273538,False,-0.03276335857280188,-0.1331421459677663
2025-01-13,853914.6269095334,807675.9778786435,0.1460853730904666,71638.21233060998,-27095.53112884398,44542.681201766,0.052162920973697055,-27095.53112884398,71638.21233060998,False,-0.014931198999344697,-0.14608537309046643
2025-01-14,850473.7381726513,803771.8848399878,0.14952626182734874,64612.888041193626,-25719.22078584165,38893.667255351975,0.04573176749574873,-25719.22078584165,64612.888041193626,False,-0.00402954654768628,-0.14952626182734852
2025-01-15,835522.9299017986,794547.0547217675,0.1644770700982014,36999.053082139646,-14472.838138549321,22526.214943590327,0.026960618479061844,-14472.838138549321,36999.053082139646,True,-0.017579388521715367,-0.16447707009820123
2025-01-16,818299.4070602111,789907.7876781307,0.18170059293978894,34537.572091624286,-15424.486796817519,19113.08529480677,0.02335708070896893,-15424.486796817519,34537.572091624286,True,-0.02061406363032059,-0.1817005929397888
2025-01-17,810414.6897188313,794691.921123116,0.18958531028116868,25291.0354856859,0.0,25291.0354856859,0.03120752351423995,0.0,25291.0354856859,True,-0.009635491940176322,-0.18958531028116854
2025-01-21,821155.7639201476,791918.9665487369,0.17884423607985245,23690.888222652204,0.0,23690.888222652204,0.028850663008870993,0.0,23690.888222652204,True,0.0132537999836142,-0.17884423607985234
2025-01-22,814129.9808943932,789093.4813532615,0.18587001910560683,19385.52915018087,0.0,19385.52915018087,0.023811344140507108,0.0,19385.52915018087,True,-0.008555968714405338,-0.18587001910560674
2025-01-23,808732.9263228276,788971.5409175332,0.1912670736771724,19517.50453383798,0.0,19517.50453383798,0.02413343626626009,0.0,19517.50453383798,True,-0.006629229604880105,-0.19126707367717233
2025-01-24,807960.3607902799,788971.5409175332,0.1920396392097201,18988.819872746757,0.0,18988.819872746757,0.02350216767339114,0.0,18988.819872746757,True,-0.0009552789399343009,-0.19203963920972
2025-01-27,808175.6458691799,810284.0410001785,0.19182435413082013,18559.930612277298,-10978.337211007216,7581.593401270082,0.009381120849188917,-10978.337211007216,18559.930612277298,True,0.00026645500119504284,-0.1918243541308201
2025-01-28,816679.9929463514,837741.456125957,0.1833200070536486,16492.59014459678,-17296.967995793715,-804.3778511969358,-0.0009849363987661397,-17296.967995793715,16492.59014459678,True,0.010522894522545512,-0.1833200070536486
2025-01-29,836132.8359636397,865882.9019241257,0.16386716403636034,14776.852129922394,-22710.255644971545,-7933.403515049151,-0.009488209497126058,-22710.255644971545,14776.852129922394,True,0.023819419093527472,-0.16386716403636037
2025-01-30,864104.9300780096,870585.6587457553,0.13589506992199038,20747.51131345929,-17822.7263379458,2924.7849755134885,0.0033847567276921392,-17822.7263379458,20747.51131345929,True,0.033454127037281456,-0.1358950699219903
2025-01-31,873176.279335428,867995.0381560826,0.12682372066457198,0.0,0.0,0.0,0.0,0.0,0.0,True,0.010497971880104373,-0.12682372066457182
2025-02-03,867995.0381560826,867995.0381560826,0.13200496184391738,0.0,0.0,0.0,0.0,0.0,0.0,True,-0.005933785997128571,-0.1320049618439172
2025-02-04,867995.0381560826,867995.0381560826,0.13200496184391738,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,-0.1320049618439172
2025-02-05,867995.0381560826,867995.0381560826,0.13200496184391738,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,-0.1320049618439172
2025-02-06,867995.0381560826,867995.0381560826,0.13200496184391738,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,-0.1320049618439172
2025-02-07,867995.0381560826,867995.0381560826,0.13200496184391738,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,-0.1320049618439172
2025-02-10,867995.0381560826,867995.0381560826,0.13200496184391738,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,-0.1320049618439172
2025-02-11,867995.0381560826,867995.0381560826,0.13200496184391738,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,-0.1320049618439172
2025-02-12,867995.0381560826,867995.0381560826,0.13200496184391738,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,-0.1320049618439172
2025-02-13,867995.0381560826,867995.0381560826,0.13200496184391738,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,-0.1320049618439172
2025-02-14,867995.0381560826,867995.0381560826,0.13200496184391738,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,-0.1320049618439172
2025-02-18,867995.0381560826,867995.0381560826,0.13200496184391738,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,-0.1320049618439172
2025-02-19,867995.0381560826,867995.0381560826,0.13200496184391738,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,-0.1320049618439172
2025-02-20,867995.0381560826,867995.0381560826,0.13200496184391738,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,-0.1320049618439172
2025-02-21,867995.0381560826,867995.0381560826,0.13200496184391738,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,-0.1320049618439172
2025-02-24,867995.0381560826,867995.0381560826,0.13200496184391738,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,-0.1320049618439172
2025-02-25,867995.0381560826,867995.0381560826,0.13200496184391738,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,-0.1320049618439172
2025-02-26,867995.0381560826,867995.0381560826,0.13200496184391738,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,-0.1320049618439172
2025-02-27,867995.0381560826,867995.0381560826,0.13200496184391738,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,-0.1320049618439172
2025-02-28,867995.0381560826,867995.0381560826,0.13200496184391738,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,-0.1320049618439172
2025-03-03,867995.0381560826,867995.0381560826,0.13200496184391738,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,-0.1320049618439172
2025-03-04,867995.0381560826,867995.0381560826,0.13200496184391738,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,-0.1320049618439172
2025-03-05,867995.0381560826,867995.0381560826,0.13200496184391738,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,-0.1320049618439172
2025-03-06,867995.0381560826,867995.0381560826,0.13200496184391738,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,-0.1320049618439172
2025-03-07,867995.0381560826,867995.0381560826,0.13200496184391738,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,-0.1320049618439172
2025-03-10,867995.0381560826,867995.0381560826,0.13200496184391738,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,-0.1320049618439172
2025-03-11,867995.0381560826,867995.0381560826,0.13200496184391738,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,-0.1320049618439172
2025-03-12,867995.0381560826,867995.0381560826,0.13200496184391738,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,-0.1320049618439172
2025-03-13,867995.0381560826,867995.0381560826,0.13200496184391738,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,-0.1320049618439172
2025-03-14,867995.0381560826,867995.0381560826,0.13200496184391738,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,-0.1320049618439172
2025-03-17,867995.0381560826,867995.0381560826,0.13200496184391738,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,-0.1320049618439172
2025-03-18,867995.0381560826,867995.0381560826,0.13200496184391738,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,-0.1320049618439172
2025-03-19,867995.0381560826,867995.0381560826,0.13200496184391738,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,-0.1320049618439172
2025-03-20,867995.0381560826,867995.0381560826,0.13200496184391738,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,-0.1320049618439172
2025-03-21,867995.0381560826,867995.0381560826,0.13200496184391738,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,-0.1320049618439172
2025-03-24,867995.0381560826,867995.0381560826,0.13200496184391738,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,-0.1320049618439172
2025-03-25,867995.0381560826,867995.0381560826,0.13200496184391738,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,-0.1320049618439172
2025-03-26,867995.0381560826,867995.0381560826,0.13200496184391738,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,-0.1320049618439172
2025-03-27,867995.0381560826,867995.0381560826,0.13200496184391738,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,-0.1320049618439172
2025-03-28,867995.0381560826,867995.0381560826,0.13200496184391738,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,-0.1320049618439172
2025-03-31,867995.0381560826,867995.0381560826,0.13200496184391738,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,-0.1320049618439172
2025-04-01,867995.0381560826,867995.0381560826,0.13200496184391738,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,-0.1320049618439172
2025-04-02,867995.0381560826,867995.0381560826,0.13200496184391738,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,-0.1320049618439172
2025-04-03,867995.0381560826,888169.062545162,0.13200496184391738,0.0,-10087.012194539675,-10087.012194539675,-0.011621048221621091,-10087.012194539675,0.0,True,0.0,-0.1320049618439172
2025-04-04,871834.4230537559,910395.0091011719,0.12816557694624411,0.0,-22174.844706734464,-22174.844706734464,-0.025434697369556832,-22174.844706734464,0.0,True,0.004423279775688016,-0.12816557694624386
2025-04-07,888496.0581251952,932943.5624637495,0.1115039418748048,0.0,-33173.227657265525,-33173.227657265525,-0.03733638135352446,-33173.227657265525,0.0,True,0.01911100850214087,-0.1115039418748045
2025-04-08,895434.3436555217,956456.8026920442,0.10456565634447826,0.0,-43066.62384503866,-43066.62384503866,-0.048095791891590224,-43066.62384503866,0.0,True,0.007809022298834956,-0.1045656563444779
2025-04-09,925729.5067106618,987184.0986734265,0.07427049328933819,0.0,0.0,0.0,0.0,0.0,0.0,True,0.033832925071271,-0.07427049328933788
2025-04-10,987184.0986734265,1013117.5642445462,0.012815901326573453,0.0,-12966.732785559838,-12966.732785559838,-0.013135070553693555,-12966.732785559838,0.0,True,0.06638504176141868,-0.012815901326573065
2025-04-11,1000179.0839898946,1018172.4819965563,0.0,0.0,-7883.562502641587,-7883.562502641587,-0.007882150935603087,-7883.562502641587,0.0,False,0.013163689866895867,0.0001790839898949681
2025-04-14,1009935.2592228748,1018172.4819965563,0.0,0.0,-8237.22277368148,-8237.22277368148,-0.008156188922466041,-8237.22277368148,0.0,False,0.009754428371028245,0.00993525922287497
2025-04-15,1010439.5602723877,1025905.4037207249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0004993399773971507,0.010439560272387904
2025-04-16,1025905.4037207249,1025905.4037207249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.015306054964997706,0.02590540372072514
2025-04-17,1025905.4037207249,1025905.4037207249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.02590540372072514
2025-04-21,1025905.4037207249,1025905.4037207249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.02590540372072514
2025-04-22,1025905.4037207249,1025905.4037207249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.02590540372072514
2025-04-23,1025905.4037207249,1025905.4037207249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.02590540372072514
2025-04-24,1025905.4037207249,1025905.4037207249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.02590540372072514
2025-04-25,1025905.4037207249,1025905.4037207249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.02590540372072514
2025-04-28,1025905.4037207249,1025905.4037207249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.02590540372072514
