date,ticker,trade_type,position_type,quantity,price,value,strike,expiration,option_type,strategy,exit_reason
2021-03-18,JNJ,open,option,1,4.003112323345917,400.3112323345917,143,2021-04-19,call,dispersion,
2021-03-18,JNJ,open,option,1,3.5207044781177927,352.0704478117793,143,2021-04-19,put,dispersion,
2021-03-18,ABBV,open,option,1,3.1871568235563714,318.7156823556371,89,2021-04-19,call,dispersion,
2021-03-18,ABBV,open,option,1,3.4569666085064554,345.69666085064557,89,2021-04-19,put,dispersion,
2021-03-18,WMT,open,option,2,1.6752136445576191,335.0427289115238,41,2021-04-19,call,dispersion,
2021-03-18,WMT,open,option,2,1.6679537899046402,333.59075798092806,41,2021-04-19,put,dispersion,
2021-03-18,HD,open,option,1,10.066209318972753,1006.6209318972753,257,2021-04-19,call,dispersion,
2021-03-18,HD,open,option,1,9.695960596440273,969.5960596440273,257,2021-04-19,put,dispersion,
2021-03-18,BAC,open,option,1,1.59511374566382,159.51137456638202,35,2021-04-19,call,dispersion,
2021-03-18,BAC,open,option,2,1.2716554735360024,254.33109470720046,35,2021-04-19,put,dispersion,
2021-03-18,KO,open,option,2,1.1846229247145565,236.9245849429113,45,2021-04-19,call,dispersion,
2021-03-18,KO,open,option,2,1.2723986686905455,254.4797337381091,45,2021-04-19,put,dispersion,
2021-03-18,CRM,open,option,1,11.146392902290486,1114.6392902290486,208,2021-04-19,call,dispersion,
2021-03-18,CRM,open,option,1,10.465548108148809,1046.554810814881,208,2021-04-19,put,dispersion,
2021-03-18,CVX,open,option,1,4.215921846049582,421.5921846049582,88,2021-04-19,call,dispersion,
2021-03-18,CVX,open,option,1,3.7072177112007907,370.7217711200791,88,2021-04-19,put,dispersion,
2021-03-18,ORCL,open,option,1,3.6861327243117366,368.61327243117364,63,2021-04-19,call,dispersion,
2021-03-18,ORCL,open,option,1,3.619297086190663,361.92970861906633,63,2021-04-19,put,dispersion,
2021-03-18,MRK,open,option,1,1.9478790745839376,194.78790745839376,65,2021-04-19,call,dispersion,
2021-03-18,MRK,open,option,1,1.5509634269395391,155.09634269395391,65,2021-04-19,put,dispersion,
2021-03-18,PM,open,option,1,2.3444563418346505,234.44563418346505,73,2021-04-19,call,dispersion,
2021-03-18,PM,open,option,1,2.2485966936943953,224.85966936943953,73,2021-04-19,put,dispersion,
2021-03-18,CSCO,open,option,1,1.6776088673213465,167.76088673213465,43,2021-04-19,call,dispersion,
2021-03-18,CSCO,open,option,1,1.639661703340252,163.9661703340252,43,2021-04-19,put,dispersion,
2021-03-18,WFC,open,option,1,2.1189831241545605,211.89831241545605,37,2021-04-19,call,dispersion,
2021-03-18,WFC,open,option,1,1.9580939208725212,195.80939208725212,37,2021-04-19,put,dispersion,
2021-03-18,IBM,open,option,1,3.700778231898937,370.0778231898937,104,2021-04-19,call,dispersion,
2021-03-18,IBM,open,option,1,3.1236386107065854,312.3638610706586,104,2021-04-19,put,dispersion,
2021-03-18,ABT,open,option,1,3.8600046952941724,386.0004695294173,110,2021-04-19,call,dispersion,
2021-03-18,ABT,open,option,1,3.845855331176182,384.5855331176182,110,2021-04-19,put,dispersion,
2021-03-18,LIN,open,option,1,10.107015126287934,1010.7015126287934,254,2021-04-19,call,dispersion,
2021-03-18,LIN,open,option,1,10.028276951487229,1002.8276951487228,254,2021-04-19,put,dispersion,
2021-03-18,GE,open,option,1,4.993968451497079,499.3968451497079,65,2021-04-19,call,dispersion,
2021-03-18,GE,open,option,1,5.028655281879992,502.8655281879992,65,2021-04-19,put,dispersion,
2021-03-18,MCD,open,option,1,6.295528384433766,629.5528384433766,204,2021-04-19,call,dispersion,
2021-03-18,MCD,open,option,1,6.373995220666501,637.3995220666501,204,2021-04-19,put,dispersion,
2021-03-18,PEP,open,option,1,3.3847836117826517,338.4783611782652,118,2021-04-19,call,dispersion,
2021-03-18,PEP,open,option,1,3.1485731817397706,314.8573181739771,118,2021-04-19,put,dispersion,
2021-03-18,ACN,open,option,1,9.224599879374935,922.4599879374935,253,2021-04-19,call,dispersion,
2021-03-18,ACN,open,option,1,8.955093451279808,895.5093451279809,253,2021-04-19,put,dispersion,
2021-03-18,TMO,open,option,1,20.373555947307835,2037.3555947307837,441,2021-04-19,call,dispersion,
2021-03-18,TMO,open,option,1,19.228506163077157,1922.8506163077157,441,2021-04-19,put,dispersion,
